,kic,Type,dSct,gdor
0,1026294,DSCT,1.0,
1,1161908,GDORS,,
2,1162150,DSCT,1.0,
3,1163943,DSCT,1.0,
4,1294670,DSCT,1.0,
5,1430590,DSCT,1.0,
6,1430741,GDORM,2.0,
7,1431379,GDORS,,1.0
8,1431379,GDORS,,1.0
9,1431379,GDORS,,1.0
10,1431794,DSCT/ROT,1.0,
11,1432149,GDORS,2.0,1.0
12,1432149,GDORS,2.0,1.0
13,1433399,GDORM,,
14,1434660,DSCT,1.0,
15,1434800,GDORM,,
16,1570023,DSCT,1.0,
17,1571717,DSCT,1.0,
18,1572768,DSCT,,
19,1573174,DSCT/ROT,1.0,
20,1575977,DSCT,1.0,1.0
21,1576115,DSCT,1.0,
22,1577039,DSCT,1.0,
23,1577912,DSCT,1.0,
24,1718594,DSCT,1.0,
25,1724222,GDORM,,
26,1724961,DSCT,1.0,
27,1872262,GDORM,,1.0
28,2011424,DSCT,1.0,
29,2018261,DSCT/ROT,1.0,
30,2020966,GDORM,,
31,2158208,DSCT,1.0,
32,2162283,DSCT,,
33,2162904,DSCT,1.0,
34,2164165,GDORM,,
35,2166218,DSCT,1.0,
36,2167444,DSCT,1.0,
37,2168333,DSCT,1.0,1.0
38,2168420,DSCT,1.0,
39,2282763,DSCT,1.0,
40,2283124,DSCT,1.0,
41,2297728,DSCT,1.0,
42,2300165,GDORS,2.0,1.0
43,2300165,GDORS,2.0,1.0
44,2300529,DSCT,1.0,
45,2300603,DSCT/ROT,1.0,
46,2301163,DSCT/ROT,1.0,
47,2303365,DSCT,1.0,
48,2304168,DSCT,1.0,
49,2304235,DSCT,,
50,2309579,GDORS,,1.0
51,2309579,GDORS,,1.0
52,2310284,GDORS,,
53,2310586,DSCT,1.0,
54,2425057,GDOR,,
55,2438249,GDORM,1.0,
56,2439211,DSCT,1.0,
57,2439660,DSCT,1.0,
58,2448307,GDORM,,
59,2449383,GDORS,2.0,1.0
60,2449383,GDORS,2.0,1.0
61,2450944,DSCT,,1.0
62,2450944,DSCT,,1.0
63,2554867,DSCT,1.0,
64,2570760,DSCT,1.0,
65,2571868,DSCT,1.0,
66,2574960,GDOR/ROT?,,
67,2575161,GDORS,,1.0
68,2575161,GDORS,,1.0
69,2575952,DSCT,2.0,
70,2578404,DSCT,1.0,
71,2579147,DSCT,1.0,1.0
72,2579147,DSCT,1.0,1.0
73,2579595,GDORA,,
74,2579906,DSCT/ROT,1.0,
75,2581674,GDORM,,
76,2581905,DSCT,1.0,
77,2581964,GDORA,,
78,2582539,GDORS,,
79,2582800,DSCT/ROT,1.0,
80,2583234,DSCT,1.0,
81,2583669,DSCT,1.0,
82,2583748,GDORM,,
83,2693097,GDORM,,
84,2693450,DSCT,1.0,
85,2694337,DSCT,1.0,
86,2695030,DSCT,1.0,
87,2695344,GDORM,,
88,2696217,GDORA,,1.0
89,2696703,GDORA,,
90,2707479,DSCT,1.0,
91,2710406,GDORM,,1.0
92,2712821,DSCT/ROT,1.0,
93,2714707,DSCT,1.0,
94,2714807,DSCT,1.0,
95,2717483,DSCT,1.0,
96,2718630,DSCT,1.0,
97,2718944,DSCT/ROT,1.0,
98,2719928,DSCT,1.0,1.0
99,2719928,DSCT,1.0,1.0
100,2835795,GDORM,,
101,2837174,DSCT/ROT,1.0,
102,2853280,DSCT,1.0,
103,2855603,DSCT,1.0,
104,2857323,DSCT,1.0,
105,2857324,DSCT,,
106,2860851,DSCT/MAIA/ROT,,
107,2972005,DSCT,1.0,
108,2974815,DSCT,1.0,
109,2985022,DSCT,1.0,
110,2987660,DSCT,1.0,
111,2988145,DSCT,1.0,1.0
112,2988783,GDORS,2.0,
113,2994888,DSCT,1.0,
114,2995931,DSCT,1.0,
115,2996232,GDORA,,
116,2998561,DSCT,1.0,
117,3002379,GDORS,,
118,3003224,DSCT/ROT,1.0,
119,3097912,DSCT,1.0,
120,3098015,DSCT,1.0,
121,3103576,GDORS,,1.0
122,3119604,DSCT,1.0,
123,3120057,DSCT,1.0,
124,3123138,DSCT/ROT,1.0,
125,3127911,DSCT/ROT,1.0,
126,3127996,GDORM,,1.0
127,3127996,GDORM,,1.0
128,3127996,GDORM,,1.0
129,3127996,GDORM,,1.0
130,3127996,GDORM,,1.0
131,3127996,GDORM,,1.0
132,3217554,DSCT,1.0,
133,3218637,DSCT,2.0,
134,3219256,DSCT,1.0,
135,3222364,GDORM,,1.0
136,3222364,GDORM,,1.0
137,3222854,GDORM,2.0,1.0
138,3222854,GDORM,2.0,1.0
139,3222854,GDORM,2.0,1.0
140,3223460,DSCT,1.0,
141,3230884,DSCT/ROT,,
142,3231406,DSCT/ROT,1.0,
143,3238073,DSCT,1.0,
144,3238245,GDORM/ROT,,1.0
145,3239508,DSCT,1.0,
146,3240231,DSCT,1.0,
147,3240556,DSCT,1.0,
148,3240967,GDORS/GDORA,,1.0
149,3240967,GDORS/GDORA,,1.0
150,3241388,DSCT/ROT,1.0,
151,3245420,DSCT,1.0,
152,3247039,DSCT,1.0,
153,3323168,DSCT,1.0,
154,3337002,DSCT,1.0,
155,3338680,DSCT,1.0,
156,3340360,DSCT,1.0,
157,3345665,GDORS,2.0,1.0
158,3345665,GDORS,2.0,1.0
159,3346027,DSCT,1.0,
160,3346195,DSCT,1.0,
161,3348390,GDORA,,
162,3348714,GDORM,,1.0
163,3348714,GDORM,,1.0
164,3425802,DSCT,1.0,
165,3426991,DSCT,1.0,
166,3427727,DSCT,1.0,
167,3429637,DSCT,1.0,
168,3437940,DSCT,1.0,
169,3440495,DSCT,1.0,
170,3440840,GDORM,,1.0
171,3440985,DSCT,,
172,3441159,DSCT,1.0,
173,3441864,DSCT,1.0,
174,3443127,DSCT,,
175,3444098,DSCT,1.0,
176,3445406,GDORM,,
177,3445468,GDORM,,1.0
178,3445468,GDORM,,1.0
179,3446471,DSCT,1.0,
180,3446996,GDORS,2.0,1.0
181,3446996,GDORS,2.0,1.0
182,3448475,DSCT,2.0,
183,3449625,GDORS,,1.0
184,3449625,GDORS,,1.0
185,3449625,GDORS,,1.0
186,3453272,GDORS,,1.0
187,3453494,DSCT,1.0,
188,3454731,DSCT,1.0,1.0
189,3455863,DSCT,1.0,
190,3456198,DSCT,1.0,
191,3456605,DSCT,1.0,
192,3456780,DSCT,1.0,1.0
193,3458318,DSCT,,
194,3529242,DSCT,1.0,
195,3532510,DSCT,1.0,
196,3533854,GDORA,,
197,3539153,GDORS,,1.0
198,3539869,DSCT,1.0,
199,3540952,GDORM,,1.0
200,3542566,DSCT,1.0,
201,3546765,DSCT/ROT,1.0,
202,3547523,DSCT,1.0,
203,3548369,DSCT,1.0,
204,3548900,DSCT,1.0,
205,3555191,DSCT,1.0,
206,3556847,DSCT,1.0,
207,3558145,DSCT,1.0,
208,3560660,DSCT,1.0,
209,3561700,DSCT/SPB,,
210,3627370,GDORS,,1.0
211,3627370,GDORS,,1.0
212,3634384,DSCT,1.0,
213,3641023,DSCT,1.0,
214,3645863,GDORM,2.0,
215,3648131,DSCT/EB,1.0,
216,3650040,GDORS,,
217,3654076,GDORA,,
218,3655513,DSCT,1.0,
219,3657843,GDORM,,
220,3660006,DSCT,1.0,
221,3660828,DSCT,1.0,
222,3661206,GDORM,,
223,3731292,DSCT/EB,1.0,
224,3734682,GDORM,,1.0
225,3734682,GDORM,,1.0
226,3744309,DSCT,1.0,
227,3747373,DSCT,1.0,
228,3748250,DSCT/ROT,1.0,
229,3748748,GDORA,,1.0
230,3749833,DSCT,1.0,
231,3756846,GDORM,,
232,3757814,DSCT,1.0,
233,3758403,GDORM,2.0,
234,3760002,DSCT,1.0,
235,3761641,DSCT,1.0,
236,3763579,DSCT,1.0,
237,3833853,DSCT/ROT,1.0,
238,3848351,GDORS,,1.0
239,3848351,GDORS,,1.0
240,3848645,DSCT/EB,1.0,
241,3849354,DSCT,1.0,
242,3849414,GDORM,2.0,
243,3850810,DSCT,1.0,
244,3851151,DSCT/ROT,1.0,
245,3853654,DSCT,1.0,
246,3854031,DSCT/ROT,1.0,
247,3855001,DSCT,1.0,
248,3858884,DSCT/EB,,
249,3858926,GDORM,2.0,
250,3861094,GDORS/GDORA,,
251,3861139,DSCT,1.0,
252,3862244,DSCT,1.0,
253,3863594,DSCT,,
254,3864417,DSCT,1.0,
255,3865358,DSCT,1.0,
256,3866552,GDORM,,
257,3866714,GDORS,,1.0
258,3867256,DSCT/ROT,1.0,1.0
259,3867593,GDORS,,
260,3867778,GDORS,,
261,3868284,DSCT,1.0,
262,3868382,GDORS,,1.0
263,3868382,GDORS,,1.0
264,3868382,GDORS,,1.0
265,3868588,DSCT/ROT,1.0,
266,3869794,DSCT,1.0,
267,3941283,DSCT,1.0,
268,3942280,DSCT,,
269,3942392,GDORS,,1.0
270,3942392,GDORS,,1.0
271,3942392,GDORS,,1.0
272,3942911,DSCT,1.0,
273,3952623,DSCT/ROT,1.0,
274,3964128,GDORS,2.0,1.0
275,3965201,DSCT,1.0,
276,3966273,DSCT,1.0,
277,3966357,GDORS,,1.0
278,3966434,DSCT/ROT,1.0,
279,3967085,GDORM,,1.0
280,3967268,DSCT,1.0,
281,3967333,DSCT,1.0,1.0
282,3968961,DSCT,1.0,
283,3969800,DSCT,1.0,
284,3970729,DSCT,1.0,
285,3971170,GDORS,,1.0
286,3971170,GDORS,,1.0
287,3972467,GDORS,,1.0
288,3972467,GDORS,,1.0
289,3973432,DSCT,1.0,
290,3975085,DSCT,1.0,
291,4035667,DSCT/ROT,1.0,
292,4042590,DSCT,1.0,
293,4044353,DSCT,1.0,
294,4048494,DSCT,1.0,
295,4050047,GDORS,,
296,4054968,DSCT,1.0,
297,4057293,GDORS,,
298,4066281,GDORS,,
299,4067389,GDORM,,1.0
300,4069477,GDORS,,1.0
301,4069477,GDORS,,1.0
302,4072582,DSCT,1.0,
303,4074388,GDORM,2.0,1.0
304,4076350,GDORS/GDORA,,1.0
305,4076350,GDORS/GDORA,,1.0
306,4076350,GDORS/GDORA,,1.0
307,4077032,DSCT,1.0,
308,4077275,DSCT/ROT,1.0,
309,4078743,DSCT,1.0,1.0
310,4079482,DSCT,1.0,1.0
311,4136161,DSCT/ROT,1.0,
312,4137903,DSCT,1.0,
313,4138848,DSCT,1.0,
314,4141155,DSCT,1.0,
315,4141670,DSCT,1.0,
316,4142768,DSCT/HRTB,,
317,4149851,GDORS,,
318,4150611,DSCT/EB,,
319,4156254,DSCT/ROT,1.0,
320,4158822,GDORM,,
321,4160235,DSCT,1.0,
322,4164363,GDORS,,1.0
323,4168574,DSCT,1.0,
324,4168579,DSCT,1.0,
325,4170631,DSCT,1.0,
326,4171102,DSCT,1.0,1.0
327,4171102,DSCT,1.0,1.0
328,4172085,GDORM,,
329,4174472,DSCT,1.0,
330,4177905,DSCT,1.0,1.0
331,4180099,DSCT,1.0,
332,4180199,DSCT,1.0,
333,4180375,DSCT,1.0,
334,4242315,DSCT/ROT,1.0,
335,4243461,DSCT,1.0,
336,4243984,DSCT,1.0,
337,4245701,GDORM,,
338,4252716,DSCT,1.0,
339,4252757,DSCT,1.0,
340,4253413,DSCT,1.0,1.0
341,4263127,DSCT,1.0,
342,4264546,DSCT,,
343,4269332,DSCT,1.0,
344,4269337,DSCT,1.0,
345,4271930,DSCT,1.0,
346,4273425,DSCT/ROT,1.0,
347,4274480,DSCT,1.0,
348,4274730,DSCT/ROT,1.0,
349,4276002,DSCT,1.0,
350,4277242,DSCT/ROT,1.0,
351,4281581,DSCT,2.0,
352,4283747,DSCT,1.0,
353,4285040,GDORS,,1.0
354,4285040,GDORS,,1.0
355,4285359,DSCT,1.0,
356,4355012,DSCT,1.0,
357,4366913,DSCT/ROT,1.0,
358,4370855,GDORA,,
359,4372410,DSCT,1.0,
360,4374812,DSCT/ROT,1.0,
361,4376648,DSCT/ROT,1.0,
362,4380834,DSCT,1.0,
363,4381016,DSCT/ROT,1.0,
364,4381221,DSCT,1.0,
365,4383117,DSCT/ROT,1.0,
366,4383955,DSCT,1.0,
367,4386091,DSCT,1.0,1.0
368,4386091,DSCT,1.0,1.0
369,4390625,GDORS,,1.0
370,4390625,GDORS,,1.0
371,4390902,DSCT/ROT,1.0,
372,4391108,DSCT,1.0,
373,4448157,GDORS,,1.0
374,4448157,GDORS,,1.0
375,4456107,DSCT,1.0,
376,4457800,GDORM,,
377,4458172,DSCT,1.0,
378,4459939,DSCT/ROT,,
379,4464876,GDORS,,1.0
380,4464876,GDORS,,1.0
381,4466180,GDORM,2.0,
382,4470415,GDORM,,
383,4471379,DSCT,1.0,1.0
384,4472465,DSCT,1.0,
385,4473083,DSCT,1.0,
386,4473450,DSCT,1.0,
387,4476186,DSCT,1.0,
388,4476836,DSCT/ROT,1.0,
389,4480321,DSCT/ROT,1.0,1.0
390,4480321,DSCT/ROT,1.0,1.0
391,4480321,DSCT/ROT,1.0,1.0
392,4481004,GDORS,,1.0
393,4481426,DSCT,1.0,
394,4481653,GDORS,2.0,
395,4481700,DSCT,1.0,1.0
396,4482231,DSCT,1.0,1.0
397,4488796,DSCT,1.0,
398,4488840,DSCT,1.0,
399,4550962,GDORM,1.0,
400,4556345,DSCT,1.0,
401,4562615,DSCT,1.0,
402,4566474,GDORS,,1.0
403,4566474,GDORS,,1.0
404,4566498,GDORS,,1.0
405,4566498,GDORS,,1.0
406,4569150,DSCT,1.0,
407,4570326,DSCT/ROT,,
408,4570408,DSCT/ROT,1.0,
409,4574142,DSCT,1.0,
410,4575908,DSCT,1.0,
411,4580484,DSCT,1.0,
412,4585982,GDORS,1.0,1.0
413,4585982,GDORS,1.0,1.0
414,4587528,DSCT,1.0,
415,4588073,DSCT,1.0,
416,4641555,DSCT,,
417,4647763,DSCT,1.0,
418,4648848,DSCT,1.0,
419,4649476,DSCT,1.0,
420,4650137,GDORS/ROT,2.0,1.0
421,4650563,GDORS,,1.0
422,4658336,DSCT,1.0,1.0
423,4658442,GDORM,2.0,
424,4659837,GDORM,,1.0
425,4661223,GDORA,,1.0
426,4661660,DSCT,1.0,
427,4662336,DSCT,1.0,
428,4668993,GDORM,,
429,4670388,DSCT,1.0,
430,4670846,DSCT,1.0,
431,4671225,DSCT,1.0,
432,4672176,GDORS,,1.0
433,4672176,GDORS,,1.0
434,4677446,DSCT,1.0,
435,4677684,DSCT,1.0,
436,4679528,DSCT,1.0,
437,4679562,DSCT/ROT,1.0,
438,4680002,DSCT,1.0,
439,4680338,GDORA,,
440,4726268,DSCT,1.0,
441,4727286,GDORA,,1.0
442,4737720,DSCT,1.0,
443,4740125,DSCT/ROT,1.0,
444,4749989,DSCT/ROT,1.0,
445,4756040,DSCT,1.0,
446,4756171,DSCT,,
447,4757997,GDORM,,
448,4758316,GDORA,,1.0
449,4758316,GDORA,,1.0
450,4761183,GDORS,,
451,4763381,DSCT,1.0,
452,4764008,DSCT,1.0,
453,4768668,DSCT,1.0,
454,4768677,DSCT,1.0,
455,4768919,DSCT,1.0,
456,4773851,DSCT/ROT,1.0,
457,4814686,DSCT,1.0,
458,4824290,DSCT,1.0,
459,4826031,GDORS,2.0,1.0
460,4826031,GDORS,2.0,1.0
461,4832225,GDORM,,
462,4840401,GDORM,,
463,4840675,DSCT/ROT,1.0,
464,4842057,GDORS/GDORA,1.0,1.0
465,4842166,DSCT,1.0,
466,4843037,GDORS/GDORA,,1.0
467,4843037,GDORS/GDORA,,1.0
468,4846809,GDORS,,1.0
469,4846809,GDORS,,1.0
470,4847371,DSCT,1.0,
471,4847411,DSCT,1.0,
472,4847691,GDORS,2.0,1.0
473,4848216,DSCT,1.0,
474,4851881,GDORM,1.0,
475,4852661,DSCT,1.0,
476,4856630,DSCT,1.0,
477,4857064,GDORS,1.0,1.0
478,4857064,GDORS,1.0,1.0
479,4859790,GDORA,,1.0
480,4859790,GDORA,,1.0
481,4860444,DSCT,1.0,
482,4860458,GDORM,2.0,1.0
483,4860458,GDORM,2.0,1.0
484,4862968,DSCT,1.0,
485,4863077,DSCT,1.0,
486,4902475,DSCT,1.0,
487,4903473,DSCT,1.0,
488,4904182,GDORS,,1.0
489,4919344,DSCT,1.0,1.0
490,4919344,DSCT,1.0,1.0
491,4919344,DSCT,1.0,1.0
492,4919818,DSCT,1.0,
493,4920125,DSCT,1.0,
494,4927383,GDORM,,
495,4927495,DSCT/EB,1.0,
496,4927985,DSCT,1.0,
497,4930550,DSCT,1.0,
498,4930578,DSCT,1.0,
499,4932276,GDORS,,1.0
500,4932361,DSCT/MAIA/ROT,,
501,4932417,GDORS,2.0,1.0
502,4932657,DSCT/ROT,1.0,
503,4932691,GDORM/EB,,
504,4934767,GDORS,,
505,4936524,DSCT,1.0,
506,4937435,DSCT,1.0,
507,4937512,DSCT,,
508,4937872,DSCT,1.0,
509,4938281,DSCT,1.0,
510,4940217,GDORS,1.0,
511,4945346,DSCT,1.0,
512,4946956,DSCT,1.0,
513,4947130,DSCT/ROT,1.0,
514,4951030,GDORS,2.0,1.0
515,4952246,GDOR/EB,,1.0
516,4952246,GDOR/EB,,1.0
517,4952341,DSCT,1.0,
518,4989900,DSCT,1.0,
519,5008954,DSCT/ROT,1.0,
520,5018590,GDORS,,1.0
521,5018590,GDORS,,1.0
522,5019234,DSCT,1.0,
523,5019263,GDORS,,
524,5019567,DSCT,1.0,
525,5020065,DSCT,1.0,
526,5021329,GDORS,2.0,1.0
527,5021374,GDORA,,1.0
528,5022451,DSCT,,
529,5023338,DSCT,1.0,
530,5024084,GDORA,,
531,5024455,GDORM,,
532,5025234,GDOR,,
533,5025464,GDORS,,1.0
534,5025464,GDORS,,1.0
535,5031804,GDORM,,1.0
536,5031804,GDORM,,1.0
537,5034039,DSCT,1.0,
538,5036037,DSCT,1.0,
539,5036493,DSCT,1.0,
540,5037681,GDORS,,1.0
541,5037710,GDORS,,
542,5038228,DSCT,1.0,1.0
543,5038228,DSCT,1.0,1.0
544,5038228,DSCT,1.0,1.0
545,5038228,DSCT,1.0,1.0
546,5038469,DSCT,1.0,
547,5038548,GDORS,,1.0
548,5040435,GDORS,,1.0
549,5040435,GDORS,,1.0
550,5042785,DSCT,1.0,
551,5042993,GDORS,,1.0
552,5080290,DSCT,,
553,5092684,GDORS,,1.0
554,5092684,GDORS,,1.0
555,5097278,DSCT,2.0,
556,5105754,GDORA,,
557,5107801,GDORA,,
558,5108514,DSCT,1.0,
559,5110038,GDORM,2.0,
560,5111801,GDORS,,
561,5112705,DSCT,,
562,5113557,DSCT,1.0,
563,5113797,GDORS/ROT,,1.0
564,5113797,GDORS/ROT,,1.0
565,5115637,GDORM,,1.0
566,5115637,GDORM,,1.0
567,5115778,GDORM,,
568,5119143,DSCT,1.0,
569,5120165,DSCT,1.0,
570,5123889,DSCT,1.0,1.0
571,5125048,DSCT,1.0,
572,5130650,DSCT/ROT,1.0,
573,5130890,GDORS,,
574,5166960,DSCT/ROT,1.0,
575,5168634,DSCT,1.0,
576,5174492,DSCT,1.0,
577,5174920,DSCT/ROT,1.0,
578,5176531,DSCT,1.0,
579,5177020,DSCT,1.0,
580,5179602,GDORS,,1.0
581,5179602,GDORS,,1.0
582,5179979,DSCT,1.0,
583,5180796,DSCT,1.0,
584,5196787,DSCT,1.0,1.0
585,5196851,DSCT,1.0,
586,5197256,DSCT/ROT,,
587,5198337,DSCT,,
588,5200084,DSCT/ROT,1.0,
589,5200521,DSCT,,
590,5202905,DSCT,1.0,
591,5206767,DSCT/ROT,1.0,
592,5207238,GDORM,2.0,
593,5209712,DSCT,1.0,
594,5209910,DSCT,1.0,
595,5210153,GDORM,,1.0
596,5210153,GDORM,,1.0
597,5212696,DSCT,1.0,
598,5213157,GDORM,,
599,5213221,GDORS,2.0,1.0
600,5219533,DSCT,1.0,1.0
601,5220979,DSCT,1.0,1.0
602,5253740,DSCT,1.0,1.0
603,5253740,DSCT,1.0,1.0
604,5256372,GDORS,,
605,5265699,DSCT,,
606,5267421,GDORA/ROT,,1.0
607,5267867,DSCT,1.0,
608,5271224,DSCT/ROT,1.0,1.0
609,5271803,GDORS,,1.0
610,5272524,GDORS,,1.0
611,5272590,DSCT/ROT,1.0,
612,5272673,DSCT,1.0,
613,5273625,GDORM,,
614,5281281,DSCT,1.0,
615,5286045,GDORM/EB,,
616,5287619,DSCT,1.0,
617,5288937,DSCT,2.0,
618,5294571,GDORS,,1.0
619,5294571,GDORS,,1.0
620,5294571,GDORS,,1.0
621,5295005,DSCT,1.0,
622,5295234,DSCT/ROT,1.0,
623,5297343,DSCT,1.0,
624,5297681,DSCT,1.0,
625,5298466,DSCT,1.0,
626,5299904,DSCT,1.0,
627,5300094,GDORS,,1.0
628,5300094,GDORS,,1.0
629,5301101,DSCT,1.0,
630,5301537,GDORS,,1.0
631,5301537,GDORS,,1.0
632,5302006,DSCT/EB,,
633,5304184,DSCT,1.0,
634,5304819,DSCT,1.0,
635,5305709,DSCT,1.0,
636,5305977,DSCT/ROT,1.0,
637,5307638,GDORS,,
638,5308052,DSCT,1.0,
639,5309547,DSCT/ROT,1.0,
640,5309849,GDORS,1.0,
641,5310172,DSCT,1.0,
642,5350598,GDORS,,
643,5355850,DSCT/ROT,1.0,
644,5356349,DSCT,1.0,
645,5356665,DSCT/ROT,1.0,
646,5358323,DSCT/ROT,1.0,
647,5370431,GDORS,,1.0
648,5370646,DSCT,1.0,
649,5371747,GDORM,,
650,5372077,GDORM,,
651,5372348,GDORM,,
652,5373377,DSCT/ROT,1.0,
653,5374279,GDORS,,1.0
654,5376614,DSCT/ROT,1.0,
655,5381448,DSCT,1.0,
656,5382589,GDORM,,
657,5384653,DSCT,1.0,
658,5385469,DSCT/ROT,1.0,
659,5389234,DSCT,1.0,
660,5389856,DSCT/ROT,1.0,
661,5390069,DSCT,1.0,
662,5390694,GDORS,,1.0
663,5390733,GDORM,,
664,5390878,GDORA,,
665,5391059,GDORS,,1.0
666,5391059,GDORS,,1.0
667,5391338,DSCT,1.0,
668,5391416,DSCT,1.0,
669,5392089,GDORS,,1.0
670,5393589,DSCT,1.0,
671,5394574,DSCT/ROT,1.0,
672,5395139,GDORS,,1.0
673,5396265,DSCT/ROT,1.0,
674,5428254,DSCT,1.0,
675,5429163,GDORS,1.0,
676,5430471,DSCT,1.0,
677,5435620,DSCT,1.0,
678,5437206,DSCT,1.0,
679,5440852,DSCT/ROT,1.0,
680,5443410,DSCT,1.0,
681,5444254,DSCT/ROT,1.0,
682,5446372,DSCT,,
683,5450166,GDORA,,
684,5450503,GDORS,,1.0
685,5458428,GDORM,,
686,5459805,DSCT,1.0,1.0
687,5459805,DSCT,1.0,1.0
688,5459805,DSCT,1.0,1.0
689,5459908,DSCT,1.0,
690,5460604,GDORS,,
691,5461501,DSCT/ROT,1.0,
692,5462692,DSCT,1.0,
