  1026294 DSCT              1.0562  0.0245  8083   280 0.38 1.2026  0.042
  1161908 GDORS             0.8361  0.0141  6662   198 0.45 0.8021  0.041
  1162150 DSCT              0.9272  0.0247  7015   263 0.46 1.6332  0.042
  1163943 DSCT              1.2370  0.0317  7236   241 0.33 1.2845  0.042
  1294670 DSCT              0.5840  0.0254  7220   276 0.53 1.6572  0.044
  1430590 DSCT              0.8833  0.0278  6899   253 0.48 1.0904  0.042
  1430741 GDORM             0.4982  0.0171  7091   277 0.53 1.1261  0.043
  1431379 GDORS             1.0646  0.0242  7106   245 0.39 0.9482  0.042
  1431794 DSCT/ROT          0.8712  0.0234  7255   273 0.46 1.2349  0.042
  1432149 GDORS             1.6470  0.0344  7413   272 0.24 1.0735  0.042
  1433399 GDORM             0.5018  0.0234  6994   211 0.55 1.5579  0.044
  1434660 DSCT              1.0202  0.0301  7036   227 0.42 1.5127  0.042
  1434800 GDORM             0.4808  0.0442  6729   233 0.57 1.1827  0.052
  1570023 DSCT              0.4374  0.0171  6891   235 0.54 1.4545  0.043
  1571717 DSCT              1.5999  0.0378  8255   285 0.25 1.1173  0.042
  1572768 DSCT              1.2804  0.0256  8351   280 0.33 2.0825  0.042
  1573174 DSCT/ROT          0.3720  0.0156  7115   277 0.58 1.5555  0.044
  1575977 DSCT              0.6374  0.0183  7230   304 0.52 1.0452  0.042
  1576115 DSCT              0.7426  0.0265  8210   279 0.49 1.6398  0.043
  1577039 DSCT              4.3383  0.2233  6969   264 0.16 1.3658  0.045
  1577912 DSCT              1.6547  0.0493  8890   325 0.24 1.1793  0.042
  1718594 DSCT              2.7601  0.0339  7742   265 0.16 0.9409  0.041
  1724222 GDORM             1.3976  0.0254  6956   228 0.27 0.9952  0.041
  1724961 DSCT              2.0730  0.0325  7130   252 0.26 1.1883  0.041
  1872262 GDORM             0.6425  0.0139  6976   273 0.53 0.9882  0.042
  2011424 DSCT              1.0414  0.0283  6649   183 0.40 1.6099  0.042
  2018261 DSCT/ROT          1.0529  0.0265  7426   267 0.41 1.2497  0.042
  2020966 GDORM             0.9392  0.0273  6538   123 0.48 1.3235  0.042
  2158208 DSCT              3.1609  0.0300  9883   355 0.18 1.4490  0.041
  2162283 DSCT              4.1002  0.0248  6827   213 0.16 0.9152  0.041
  2162904 DSCT              0.9619  0.0209  7267   265 0.45 1.0378  0.042
  2164165 GDORM             1.2429  0.0246  6968   226 0.33 1.1902  0.042
  2166218 DSCT              4.4427  0.0328  7297   120 0.15 0.8678  0.041
  2167444 DSCT              0.7539  0.0636  7084   311 0.52 0.6733  0.050
  2168333 DSCT              1.6554  0.0426  8281   295 0.25 1.5462  0.042
  2168420 DSCT              0.4058  0.0168  7970   275 0.65 1.4427  0.043
  2282763 DSCT              0.4599  0.0309  7939   276 0.55 1.8029  0.047
  2283124 DSCT              0.7993  0.0323  6965   231 0.50 1.2315  0.043
  2297728 DSCT              1.8581  0.0323  6839   168 0.23 1.4465  0.041
  2300165 GDORS             2.1672  0.0249  7282   265 0.21 0.8838  0.041
  2300529 DSCT              0.5955  0.0239  7153   280 0.50 1.5126  0.043
  2300603 DSCT/ROT          0.4989  0.0194  6939   248 0.52 1.4554  0.043
