kic,source_id,sdss_g,parallax,parallax_error,Ag_Green_2017,Ag_Green_2017_sigma,Teffi,e_Teffi,FeHi,e_FeHi,new_logg,new_logg_std,new_radius,new_r_std,new_mass,new_mass_std,mass_qflag,loglbol_g_median,loglbol_sigp,loglbol_sigm,dSct
892667,2050232329866306176,13.405,0.821,0.015,0.43,0.03,6604,209,-0.26,0.3,3.89,0.1,2.26,0.16,1.46,0.25,0,0.941,0.025,0.025,0
892828,2050232089348573440,13.441,0.936,0.014,0.29,0.02,6685,213,-0.26,0.3,4.07,0.1,1.77,0.12,1.34,0.25,0,0.75,0.023,0.023,0
893234,2050237621266121856,13.425,1.008,0.015,0.25,0.03,6694,219,-0.37,0.3,4.14,0.1,1.6,0.11,1.28,0.25,0,0.665,0.021,0.022,0
1026133,2050236689246332928,13.314,0.826,0.018,0.32,0.04,6990,228,-0.26,0.3,4.02,0.1,1.94,0.15,1.46,0.25,0,0.907,0.029,0.029,0
1026255,2050237208949229952,12.629,0.874,0.022,0.4,0.03,7050,214,-0.23,0.3,3.85,0.09,2.5,0.18,1.64,0.25,0,1.143,0.031,0.03,1
1026294,2050243183236881152,11.96,1.056,0.024,0.17,0.04,7887,80,-0.07,0.15,4.1,0.08,1.9,0.07,1.64,0.25,0,1.101,0.024,0.024,1
1026356,2050237037150551296,15.079,0.993,0.02,0.18,0.04,6514,228,-0.28,0.3,,,0.78,0.06,0.0,0.25,6,-0.008,0.024,0.024,0
1026475,2050242878306107904,12.076,2.118,0.022,0.11,0.04,6611,189,-0.33,0.3,4.23,0.11,1.39,0.09,1.2,0.25,1,0.52,0.024,0.024,0
1026861,2050238892576496512,11.044,2.1,0.026,0.17,0.03,7057,80,-0.03,0.15,4.03,0.08,1.95,0.06,1.48,0.25,0,0.929,0.021,0.021,0
1027338,2050239820289522432,14.241,1.305,0.018,0.18,0.03,6552,216,-0.43,0.3,4.56,0.13,0.88,0.06,1.04,0.25,5,0.105,0.022,0.022,0
1028120,2051694233651328384,13.358,0.902,0.019,0.21,0.03,6636,80,-0.06,0.15,4.03,0.09,1.86,0.07,1.35,0.25,0,0.783,0.027,0.027,0
1161402,2050249127471618560,12.583,2.034,0.024,0.25,0.09,6575,194,-0.32,0.3,4.31,0.12,1.23,0.09,1.16,0.25,2,0.409,0.039,0.04,0
1162150,2050245352207422208,11.338,0.927,0.025,0.29,0.03,7087,248,-0.01,0.3,3.52,0.09,3.96,0.31,1.9,0.25,0,1.552,0.032,0.031,1
1162339,2050244351476305408,14.037,0.905,0.017,0.33,0.03,6652,219,-0.27,0.3,4.2,0.12,1.44,0.1,1.22,0.25,1,0.563,0.027,0.026,0
1162345,2050244355775019904,11.911,0.748,0.023,0.35,0.03,6507,189,-0.24,0.3,3.36,0.08,4.84,0.34,1.94,0.25,0,1.579,0.034,0.033,0
1163943,2051696565812457984,11.429,1.237,0.032,0.19,0.03,7202,222,-0.23,0.3,3.82,0.09,2.64,0.17,1.72,0.25,0,1.229,0.02,0.02,1
1164109,2051696157796813312,11.018,3.374,0.026,0.14,0.04,6605,180,-0.25,0.3,4.21,0.11,1.44,0.09,1.21,0.25,0,0.55,0.023,0.023,0
1164407,2051698936634405632,12.26,1.223,0.029,0.18,0.03,6969,206,-0.24,0.3,4.02,0.1,1.96,0.12,1.46,0.25,0,0.914,0.021,0.021,0
1164418,2051692996700910080,13.609,0.867,0.018,0.2,0.03,6718,80,0.13,0.15,4.11,0.09,1.66,0.07,1.3,0.25,0,0.704,0.027,0.027,0
1292798,2050254556310276992,10.332,2.096,0.038,0.83,0.06,8175,80,-0.22,0.15,3.89,0.07,2.59,0.11,1.93,0.25,0,1.433,0.032,0.032,0
1293743,2050258065310680704,13.366,0.716,0.02,0.28,0.02,6851,219,-0.2,0.3,3.91,0.1,2.24,0.17,1.52,0.25,0,0.998,0.031,0.03,0
1293814,2050258099670430208,10.777,1.729,0.033,0.18,0.03,7903,276,-0.16,0.3,4.05,0.09,2.04,0.15,1.7,0.25,0,1.164,0.022,0.022,0
1293928,2050257889204898176,11.761,1.195,0.026,0.25,0.03,7100,80,0.12,0.15,3.88,0.08,2.45,0.08,1.64,0.25,0,1.139,0.02,0.02,0
1294382,2051747212065840768,12.556,1.274,0.025,0.2,0.03,6756,80,0.0,0.15,4.06,0.09,1.78,0.06,1.36,0.25,0,0.776,0.022,0.022,0
1294670,2051746529174727168,12.33,0.584,0.025,0.28,0.02,7299,255,-0.04,0.3,3.56,0.1,3.77,0.34,1.91,0.25,0,1.56,0.043,0.041,1
1294756,2051746563534482304,8.899,2.831,0.035,0.12,0.03,8634,302,-0.12,0.3,3.97,0.09,2.4,0.18,1.98,0.25,0,1.461,0.023,0.022,0
1295737,2051696982430529664,12.252,1.057,0.026,0.21,0.02,6557,191,-0.21,0.3,3.75,0.09,2.66,0.16,1.45,0.25,0,1.073,0.019,0.02,0
1295776,2051750308746154496,13.99,0.869,0.016,0.28,0.02,6715,80,-0.04,0.15,4.2,0.1,1.45,0.05,1.25,0.25,0,0.588,0.024,0.024,0
1296063,2051696089077358976,13.594,0.839,0.021,0.27,0.02,6591,80,-0.24,0.15,4.02,0.09,1.89,0.07,1.35,0.25,0,0.785,0.029,0.028,0
1296164,2051701998952376832,13.586,0.389,0.017,0.3,0.02,6974,232,-0.2,0.3,3.58,0.09,3.61,0.29,1.79,0.25,0,1.445,0.042,0.041,0
1296334,2051702067671882368,15.302,0.764,0.025,0.24,0.03,6694,234,-0.2,0.3,4.56,0.13,0.9,0.07,1.06,0.25,5,0.162,0.035,0.034,0
1429120,2051022397686571136,14.157,0.536,0.018,0.34,0.02,7128,242,0.27,0.3,4.04,0.1,1.93,0.16,1.48,0.25,0,0.936,0.035,0.034,0
1429653,2051010062540559872,15.543,0.334,0.031,0.53,0.03,7097,80,0.36,0.15,4.07,0.12,1.8,0.18,1.42,0.25,0,0.87,0.089,0.081,0
1430163,2051012738300892416,9.694,5.595,0.032,0.13,0.07,6590,80,-0.05,0.15,4.13,0.1,1.59,0.07,1.25,0.25,0,0.635,0.032,0.032,0
1430239,2051012669581416320,10.767,1.957,0.029,0.24,0.05,6512,193,0.14,0.3,3.68,0.1,2.96,0.2,1.52,0.25,0,1.153,0.028,0.028,0
1430305,2051012295923656704,13.581,0.958,0.018,0.41,0.04,6563,223,-0.09,0.3,4.05,0.11,1.78,0.13,1.31,0.25,0,0.725,0.027,0.027,0
1430590,2050261398205363840,12.974,0.883,0.028,0.71,0.02,6819,247,-0.02,0.3,3.8,0.1,2.64,0.22,1.62,0.25,0,1.134,0.033,0.033,1
1430741,2050263116192293120,14.184,0.498,0.017,0.53,0.05,6945,261,-0.12,0.3,3.88,0.1,2.39,0.2,1.58,0.25,0,1.079,0.04,0.04,2
1430880,2050262016680535808,11.996,2.046,0.029,0.31,0.06,6638,80,-0.12,0.15,4.13,0.1,1.61,0.07,1.26,0.25,0,0.655,0.031,0.032,0
1431091,2050262394637724032,13.234,1.667,0.024,0.41,0.04,6754,215,-0.21,0.3,4.41,0.12,1.11,0.08,1.18,0.25,5,0.367,0.023,0.023,0
1431379,2051760444868676224,12.764,1.065,0.024,0.34,0.04,6668,80,-0.17,0.15,3.94,0.08,2.14,0.08,1.44,0.25,0,0.911,0.025,0.025,0
1431474,2051760273070008960,13.777,1.186,0.016,0.25,0.03,6734,230,-0.16,0.3,4.4,0.12,1.13,0.08,1.18,0.25,5,0.376,0.02,0.021,0
1431794,2051747456887602304,12.455,0.871,0.023,0.24,0.03,7334,256,-0.2,0.3,3.92,0.1,2.32,0.17,1.65,0.25,0,1.146,0.03,0.03,1
1432149,2051761303862300672,11.254,1.647,0.034,0.24,0.03,7492,262,-0.14,0.3,4.04,0.09,2.0,0.15,1.59,0.25,0,1.056,0.022,0.022,2
1432685,2051745257864502400,13.719,0.817,0.015,0.22,0.02,6623,80,0.0,0.15,4.07,0.09,1.76,0.06,1.31,0.25,0,0.728,0.024,0.024,0
1433399,2051750510600723200,13.066,0.502,0.023,0.31,0.03,6872,80,-0.11,0.15,3.55,0.08,3.7,0.21,1.78,0.25,0,1.44,0.046,0.044,0
1433534,2051750824142281728,15.12,0.475,0.023,0.31,0.03,7082,270,-0.22,0.3,4.26,0.13,1.42,0.14,1.34,0.25,1,0.659,0.048,0.046,0
1433714,2051752473409763072,13.675,1.677,0.017,0.3,0.1,6512,210,-0.22,0.3,4.5,0.14,0.95,0.08,1.06,0.25,5,0.163,0.044,0.044,0
1433725,2051703957457524608,12.963,0.482,0.031,0.46,0.01,8649,80,-0.16,0.15,3.93,0.08,2.56,0.18,2.03,0.25,0,1.52,0.06,0.056,0
1433972,2051702892305651200,13.031,1.314,0.027,0.35,0.03,6721,80,-0.23,0.15,4.18,0.1,1.53,0.05,1.26,0.25,0,0.631,0.022,0.023,0
1434372,2051704679012108800,12.451,0.712,0.026,0.43,0.04,7499,262,-0.12,0.3,3.78,0.09,2.93,0.25,1.86,0.25,0,1.389,0.039,0.038,0
1434397,2051701724074607872,12.944,1.321,0.028,0.35,0.04,6567,80,-0.06,0.15,4.1,0.1,1.67,0.06,1.27,0.25,0,0.668,0.023,0.024,0
1434660,2051725054337318016,11.379,1.02,0.03,0.34,0.03,7513,80,0.05,0.15,3.74,0.06,3.1,0.1,1.92,0.25,0,1.441,0.02,0.021,1
1434696,2051724985617846144,13.015,1.327,0.029,0.31,0.04,6953,232,-0.26,0.3,4.27,0.11,1.38,0.1,1.29,0.25,2,0.601,0.024,0.024,0
